Rank,Prime,Predicted_Zeta,Closest_Zeta,Deviation
1,99989,0.500000,-5.851076,6.351076
2,29473,0.500000,-5.851076,6.351076
3,29443,0.500000,-5.851076,6.351076
4,29437,0.500000,-5.851076,6.351076
5,29429,0.500000,-5.851076,6.351076
6,29423,0.500000,-5.851076,6.351076
7,29411,0.500000,-5.851076,6.351076
8,29401,0.500000,-5.851076,6.351076
9,29399,0.500000,-5.851076,6.351076
10,29389,0.500000,-5.851076,6.351076
11,29387,0.500000,-5.851076,6.351076
12,29383,0.500000,-5.851076,6.351076
13,29363,0.500000,-5.851076,6.351076
14,29347,0.500000,-5.851076,6.351076
15,29339,0.500000,-5.851076,6.351076
16,29333,0.500000,-5.851076,6.351076
17,29327,0.500000,-5.851076,6.351076
18,29453,0.500000,-5.851076,6.351076
19,29483,0.500000,-5.851076,6.351076
20,29683,0.500000,-5.851076,6.351076
21,29501,0.500000,-5.851076,6.351076
22,29669,0.500000,-5.851076,6.351076
23,29663,0.500000,-5.851076,6.351076
24,29641,0.500000,-5.851076,6.351076
25,29633,0.500000,-5.851076,6.351076
26,29629,0.500000,-5.851076,6.351076
27,29611,0.500000,-5.851076,6.351076
28,29599,0.500000,-5.851076,6.351076
29,29587,0.500000,-5.851076,6.351076
30,29581,0.500000,-5.851076,6.351076
31,29573,0.500000,-5.851076,6.351076
32,29569,0.500000,-5.851076,6.351076
33,29567,0.500000,-5.851076,6.351076
34,29537,0.500000,-5.851076,6.351076
35,29531,0.500000,-5.851076,6.351076
36,29527,0.500000,-5.851076,6.351076
37,29311,0.500000,-5.851076,6.351076
38,29303,0.500000,-5.851076,6.351076
39,29297,0.500000,-5.851076,6.351076
40,29287,0.500000,-5.851076,6.351076
41,29101,0.500000,-5.851076,6.351076
42,29077,0.500000,-5.851076,6.351076
43,29063,0.500000,-5.851076,6.351076
44,29059,0.500000,-5.851076,6.351076
45,29033,0.500000,-5.851076,6.351076
46,29027,0.500000,-5.851076,6.351076
47,29023,0.500000,-5.851076,6.351076
48,29021,0.500000,-5.851076,6.351076
49,29017,0.500000,-5.851076,6.351076
50,29009,0.500000,-5.851076,6.351076
51,28979,0.500000,-5.851076,6.351076
52,28961,0.500000,-5.851076,6.351076
53,28949,0.500000,-5.851076,6.351076
54,28933,0.500000,-5.851076,6.351076
55,28927,0.500000,-5.851076,6.351076
56,29123,0.500000,-5.851076,6.351076
57,29129,0.500000,-5.851076,6.351076
58,29131,0.500000,-5.851076,6.351076
59,29207,0.500000,-5.851076,6.351076
60,29269,0.500000,-5.851076,6.351076
61,29251,0.500000,-5.851076,6.351076
62,29243,0.500000,-5.851076,6.351076
63,29231,0.500000,-5.851076,6.351076
64,29221,0.500000,-5.851076,6.351076
65,29209,0.500000,-5.851076,6.351076
66,29201,0.500000,-5.851076,6.351076
67,29137,0.500000,-5.851076,6.351076
68,29191,0.500000,-5.851076,6.351076
69,29179,0.500000,-5.851076,6.351076
70,29173,0.500000,-5.851076,6.351076
71,29167,0.500000,-5.851076,6.351076
72,29153,0.500000,-5.851076,6.351076
73,29147,0.500000,-5.851076,6.351076
74,29671,0.500000,-5.851076,6.351076
75,29717,0.500000,-5.851076,6.351076
76,28909,0.500000,-5.851076,6.351076
77,30313,0.500000,-5.851076,6.351076
78,30293,0.500000,-5.851076,6.351076
79,30271,0.500000,-5.851076,6.351076
80,30269,0.500000,-5.851076,6.351076
81,30259,0.500000,-5.851076,6.351076
82,30253,0.500000,-5.851076,6.351076
83,30241,0.500000,-5.851076,6.351076
84,30223,0.500000,-5.851076,6.351076
85,30211,0.500000,-5.851076,6.351076
86,30203,0.500000,-5.851076,6.351076
87,30197,0.500000,-5.851076,6.351076
88,30187,0.500000,-5.851076,6.351076
89,30181,0.500000,-5.851076,6.351076
90,30169,0.500000,-5.851076,6.351076
91,30161,0.500000,-5.851076,6.351076
92,30139,0.500000,-5.851076,6.351076
93,30307,0.500000,-5.851076,6.351076
94,30319,0.500000,-5.851076,6.351076
95,29723,0.500000,-5.851076,6.351076
96,30323,0.500000,-5.851076,6.351076
97,30509,0.500000,-5.851076,6.351076
98,30497,0.500000,-5.851076,6.351076
99,30493,0.500000,-5.851076,6.351076
100,30491,0.500000,-5.851076,6.351076
