Rank,Prime,Predicted_Zeta,Closest_Zeta,Deviation
1,99989,10.000000,-5.851076,15.851076
2,29473,10.000000,-5.851076,15.851076
3,29443,10.000000,-5.851076,15.851076
4,29437,10.000000,-5.851076,15.851076
5,29429,10.000000,-5.851076,15.851076
6,29423,10.000000,-5.851076,15.851076
7,29411,10.000000,-5.851076,15.851076
8,29401,10.000000,-5.851076,15.851076
9,29399,10.000000,-5.851076,15.851076
10,29389,10.000000,-5.851076,15.851076
11,29387,10.000000,-5.851076,15.851076
12,29383,10.000000,-5.851076,15.851076
13,29363,10.000000,-5.851076,15.851076
14,29347,10.000000,-5.851076,15.851076
15,29339,10.000000,-5.851076,15.851076
16,29333,10.000000,-5.851076,15.851076
17,29327,10.000000,-5.851076,15.851076
18,29453,10.000000,-5.851076,15.851076
19,29483,10.000000,-5.851076,15.851076
20,29683,10.000000,-5.851076,15.851076
21,29501,10.000000,-5.851076,15.851076
22,29669,10.000000,-5.851076,15.851076
23,29663,10.000000,-5.851076,15.851076
24,29641,10.000000,-5.851076,15.851076
25,29633,10.000000,-5.851076,15.851076
26,29629,10.000000,-5.851076,15.851076
27,29611,10.000000,-5.851076,15.851076
28,29599,10.000000,-5.851076,15.851076
29,29587,10.000000,-5.851076,15.851076
30,29581,10.000000,-5.851076,15.851076
31,29573,10.000000,-5.851076,15.851076
32,29569,10.000000,-5.851076,15.851076
33,29567,10.000000,-5.851076,15.851076
34,29537,10.000000,-5.851076,15.851076
35,29531,10.000000,-5.851076,15.851076
36,29527,10.000000,-5.851076,15.851076
37,29311,10.000000,-5.851076,15.851076
38,29303,10.000000,-5.851076,15.851076
39,29297,10.000000,-5.851076,15.851076
40,29287,10.000000,-5.851076,15.851076
41,29101,10.000000,-5.851076,15.851076
42,29077,10.000000,-5.851076,15.851076
43,29063,10.000000,-5.851076,15.851076
44,29059,10.000000,-5.851076,15.851076
45,29033,10.000000,-5.851076,15.851076
46,29027,10.000000,-5.851076,15.851076
47,29023,10.000000,-5.851076,15.851076
48,29021,10.000000,-5.851076,15.851076
49,29017,10.000000,-5.851076,15.851076
50,29009,10.000000,-5.851076,15.851076
51,28979,10.000000,-5.851076,15.851076
52,28961,10.000000,-5.851076,15.851076
53,28949,10.000000,-5.851076,15.851076
54,28933,10.000000,-5.851076,15.851076
55,28927,10.000000,-5.851076,15.851076
56,29123,10.000000,-5.851076,15.851076
57,29129,10.000000,-5.851076,15.851076
58,29131,10.000000,-5.851076,15.851076
59,29207,10.000000,-5.851076,15.851076
60,29269,10.000000,-5.851076,15.851076
61,29251,10.000000,-5.851076,15.851076
62,29243,10.000000,-5.851076,15.851076
63,29231,10.000000,-5.851076,15.851076
64,29221,10.000000,-5.851076,15.851076
65,29209,10.000000,-5.851076,15.851076
66,29201,10.000000,-5.851076,15.851076
67,29137,10.000000,-5.851076,15.851076
68,29191,10.000000,-5.851076,15.851076
69,29179,10.000000,-5.851076,15.851076
70,29173,10.000000,-5.851076,15.851076
71,29167,10.000000,-5.851076,15.851076
72,29153,10.000000,-5.851076,15.851076
73,29147,10.000000,-5.851076,15.851076
74,29671,10.000000,-5.851076,15.851076
75,29717,10.000000,-5.851076,15.851076
76,28909,10.000000,-5.851076,15.851076
77,30313,10.000000,-5.851076,15.851076
78,30293,10.000000,-5.851076,15.851076
79,30271,10.000000,-5.851076,15.851076
80,30269,10.000000,-5.851076,15.851076
81,30259,10.000000,-5.851076,15.851076
82,30253,10.000000,-5.851076,15.851076
83,30241,10.000000,-5.851076,15.851076
84,30223,10.000000,-5.851076,15.851076
85,30211,10.000000,-5.851076,15.851076
86,30203,10.000000,-5.851076,15.851076
87,30197,10.000000,-5.851076,15.851076
88,30187,10.000000,-5.851076,15.851076
89,30181,10.000000,-5.851076,15.851076
90,30169,10.000000,-5.851076,15.851076
91,30161,10.000000,-5.851076,15.851076
92,30139,10.000000,-5.851076,15.851076
93,30307,10.000000,-5.851076,15.851076
94,30319,10.000000,-5.851076,15.851076
95,29723,10.000000,-5.851076,15.851076
96,30323,10.000000,-5.851076,15.851076
97,30509,10.000000,-5.851076,15.851076
98,30497,10.000000,-5.851076,15.851076
99,30493,10.000000,-5.851076,15.851076
100,30491,10.000000,-5.851076,15.851076
