Rank,Prime,Predicted_Zeta,Closest_Zeta,Deviation
1,24709,143.734097,291.728814,147.994716
2,32257,143.734097,291.728814,147.994716
3,50683,143.734097,291.728814,147.994716
4,46957,143.734097,291.728814,147.994716
5,96337,143.734097,291.728814,147.994716
6,85159,143.734097,291.728814,147.994716
7,78439,143.734097,291.728814,147.994716
8,72577,143.734097,291.728814,147.994716
9,14347,143.734097,291.728814,147.994716
10,60037,143.734097,291.728814,147.994716
11,79063,143.734097,291.728814,147.994716
12,19081,143.734097,291.728814,147.994716
13,34381,143.734097,291.728814,147.994716
14,32647,143.734097,291.728814,147.994716
15,60457,143.734097,291.728814,147.994716
16,56041,143.734097,291.728814,147.994716
17,71593,143.734097,291.728814,147.994716
18,97609,143.734097,291.728814,147.994716
19,24631,143.734097,291.728814,147.994716
20,24571,143.734097,291.728814,147.994716
21,55849,143.734097,291.728814,147.994716
22,84349,143.734097,291.728814,147.994716
23,47149,143.734097,291.728814,147.994716
24,88423,143.734097,291.728814,147.994716
25,73483,143.734097,291.728814,147.994716
26,88261,143.734097,291.728814,147.994716
27,28111,143.734097,291.728814,147.994716
28,28309,143.734097,291.728814,147.994716
29,76423,143.734097,291.728814,147.994716
30,27541,143.734097,291.728814,147.994716
31,97459,143.734097,291.728814,147.994716
32,75109,143.734097,291.728814,147.994716
33,97879,143.734097,291.728814,147.994716
34,57427,143.734097,291.728814,147.994716
35,87433,143.734097,291.728814,147.994716
36,27367,143.734097,291.728814,147.994716
37,86029,143.734097,291.728814,147.994716
38,77101,143.734097,291.728814,147.994716
39,47977,143.734097,291.728814,147.994716
40,47659,143.734097,291.728814,147.994716
41,3259,143.734097,291.728814,147.994716
42,26737,143.734097,291.728814,147.994716
43,98257,143.734097,291.728814,147.994716
44,73783,143.734097,291.728814,147.994716
45,85531,143.734097,291.728814,147.994716
46,71089,143.734097,291.728814,147.994716
47,76303,143.734097,291.728814,147.994716
48,70783,143.734097,291.728814,147.994716
49,42859,143.734097,291.728814,147.994716
50,80407,143.734097,291.728814,147.994716
51,53551,143.734097,291.728814,147.994716
52,1327,143.734097,291.728814,147.994716
53,9547,143.734097,291.728814,147.994716
54,8461,143.734097,291.728814,147.994716
55,90931,143.734097,291.728814,147.994716
56,9967,143.734097,291.728814,147.994716
57,12163,143.734097,291.728814,147.994716
58,65479,143.734097,291.728814,147.994716
59,65881,143.734097,291.728814,147.994716
60,62929,143.734097,291.728814,147.994716
61,55291,143.734097,291.728814,147.994716
62,93199,143.734097,291.728814,147.994716
63,90709,143.734097,291.728814,147.994716
64,83299,143.734097,291.728814,147.994716
65,55399,143.734097,291.728814,147.994716
66,69697,143.734097,291.728814,147.994716
67,61291,143.734097,291.728814,147.994716
68,93811,143.734097,291.728814,147.994716
69,6481,143.734097,291.728814,147.994716
70,61051,143.734097,291.728814,147.994716
71,34549,143.734097,291.728814,147.994716
72,66751,143.734097,291.728814,147.994716
73,74219,140.738231,-5.851076,146.589306
74,94169,140.738231,-5.851076,146.589306
75,29879,140.738231,-5.851076,146.589306
76,64811,140.738231,-5.851076,146.589306
77,40973,140.738231,-5.851076,146.589306
78,43223,140.738231,-5.851076,146.589306
79,75041,140.738231,-5.851076,146.589306
80,28979,140.738231,-5.851076,146.589306
81,41681,140.738231,-5.851076,146.589306
82,28349,140.738231,-5.851076,146.589306
83,42023,140.738231,-5.851076,146.589306
84,73961,140.738231,-5.851076,146.589306
85,39581,140.738231,-5.851076,146.589306
86,47459,140.738231,-5.851076,146.589306
87,65789,140.738231,-5.851076,146.589306
88,34781,140.738231,-5.851076,146.589306
89,95819,140.738231,-5.851076,146.589306
90,69341,140.738231,-5.851076,146.589306
91,61781,140.738231,-5.851076,146.589306
92,46511,140.738231,-5.851076,146.589306
93,96059,140.738231,-5.851076,146.589306
94,46769,140.738231,-5.851076,146.589306
95,90863,140.738231,-5.851076,146.589306
96,68543,140.738231,-5.851076,146.589306
97,91253,140.738231,-5.851076,146.589306
98,46919,140.738231,-5.851076,146.589306
99,44579,140.738231,-5.851076,146.589306
100,91583,140.738231,-5.851076,146.589306
