Rank,Prime,Predicted_Score,Deviation,Band
1,58789,19.148806,18.148806,outlier
2,38461,17.831514,16.831514,outlier
3,31397,17.670125,16.670125,outlier
4,43321,16.807126,15.807126,outlier
5,89689,16.807126,15.807126,outlier
6,44281,16.807126,15.807126,outlier
7,35603,16.621969,15.621969,outlier
8,34061,16.432104,15.432104,outlier
9,82073,16.432104,15.432104,outlier
10,85933,16.432104,15.432104,outlier
11,33223,16.237269,15.237269,outlier
12,90289,16.237269,15.237269,outlier
13,40361,16.037180,15.037180,outlier
14,86861,16.037180,15.037180,outlier
15,40289,16.037180,15.037180,outlier
16,36389,16.037180,15.037180,outlier
17,52391,16.037180,15.037180,outlier
18,79697,15.831526,14.831526,outlier
19,59273,15.831526,14.831526,outlier
20,78367,15.831526,14.831526,outlier
21,97711,15.831526,14.831526,outlier
22,43793,15.831526,14.831526,outlier
23,51071,15.831526,14.831526,outlier
24,83477,15.831526,14.831526,outlier
25,86629,15.831526,14.831526,outlier
26,83117,15.831526,14.831526,outlier
27,69593,15.831526,14.831526,outlier
28,61153,15.619967,14.619967,outlier
29,19603,15.619967,14.619967,outlier
30,40639,15.619967,14.619967,outlier
31,99289,15.619967,14.619967,outlier
32,48889,15.619967,14.619967,outlier
33,88339,15.619967,14.619967,outlier
34,78721,15.619967,14.619967,outlier
35,28219,15.619967,14.619967,outlier
36,69499,15.619967,14.619967,outlier
37,45887,15.402130,14.402130,outlier
38,31907,15.402130,14.402130,outlier
39,33647,15.402130,14.402130,outlier
40,14087,15.402130,14.402130,outlier
41,95651,15.402130,14.402130,outlier
42,48679,15.177606,14.177606,outlier
43,59809,15.177606,14.177606,outlier
44,96589,15.177606,14.177606,outlier
45,25469,15.177606,14.177606,outlier
46,74959,15.177606,14.177606,outlier
47,93629,15.177606,14.177606,outlier
48,35677,15.177606,14.177606,outlier
49,84067,15.177606,14.177606,outlier
50,64499,15.177606,14.177606,outlier
51,37897,15.177606,14.177606,outlier
52,66239,15.177606,14.177606,outlier
53,81463,15.177606,14.177606,outlier
54,22193,15.177606,14.177606,outlier
55,69259,15.177606,14.177606,outlier
56,38377,15.177606,14.177606,outlier
57,88667,15.177606,14.177606,outlier
58,19319,15.177606,14.177606,outlier
59,62219,15.177606,14.177606,outlier
60,23689,14.945940,13.945940,outlier
61,84247,14.945940,13.945940,outlier
62,89137,14.945940,13.945940,outlier
63,41281,14.945940,13.945940,outlier
64,88117,14.945940,13.945940,outlier
65,96097,14.945940,13.945940,outlier
66,93001,14.945940,13.945940,outlier
67,97021,14.945940,13.945940,outlier
68,66109,14.945940,13.945940,outlier
69,45439,14.945940,13.945940,outlier
70,91639,14.945940,13.945940,outlier
71,54217,14.945940,13.945940,outlier
72,98129,14.706633,13.706633,outlier
73,79481,14.706633,13.706633,outlier
74,35171,14.706633,13.706633,outlier
75,53453,14.706633,13.706633,outlier
76,81569,14.706633,13.706633,outlier
77,39251,14.706633,13.706633,outlier
78,62351,14.706633,13.706633,outlier
79,60539,14.706633,13.706633,outlier
80,69941,14.706633,13.706633,outlier
81,72767,14.706633,13.706633,outlier
82,85247,14.706633,13.706633,outlier
83,92507,14.706633,13.706633,outlier
84,78989,14.706633,13.706633,outlier
85,75431,14.459125,13.459125,outlier
86,50159,14.459125,13.459125,outlier
87,63929,14.459125,13.459125,outlier
88,81233,14.459125,13.459125,outlier
89,49549,14.459125,13.459125,outlier
90,76031,14.459125,13.459125,outlier
91,21433,14.459125,13.459125,outlier
92,68281,14.459125,13.459125,outlier
93,27143,14.459125,13.459125,outlier
94,42509,14.459125,13.459125,outlier
95,73189,14.459125,13.459125,outlier
96,73141,14.459125,13.459125,outlier
97,85733,14.459125,13.459125,outlier
98,67651,14.459125,13.459125,outlier
99,49943,14.459125,13.459125,outlier
100,82651,14.459125,13.459125,outlier
